name,display_name,name_style,roots,meanings,languages,domain,domain_status,dns,website,website_status,website_url,website_title,search_results,exact_matches,brand_score,opportunity_score
zenodara,Zenodara,blend,zeno | dara,stranger / open world | wisdom / wealth,Greek-inspired | Persian-inspired,zenodara.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
eirazeno,Eirazeno,blend,eira | zeno,snow | stranger / open world,Welsh | Greek-inspired,eirazeno.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
vidakumo,Vidakumo,blend,vida | kumo,life | cloud,Spanish/Portuguese | Japanese,vidakumo.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
eirasora,Eirasora,blend,eira | sora,snow | sky,Welsh | Japanese,eirasora.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
vidaamity,Vidaamity,blend,vida | amity,life | friendship,Spanish/Portuguese | English,vidaamity.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,110,100
sanazeno,Sanazeno,blend,sana | zeno,brilliance / praise | stranger / open world,Arabic/Hindi | Greek-inspired,sanazeno.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
syncvivo,Syncvivo,blend,sync | vivo,together / coordinated | alive,English | Latin/Italian,syncvivo.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,95,100
eiraly,Eiraly,transform,eira,snow,Welsh,eiraly.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
eiravivo,Eiravivo,blend,eira | vivo,snow | alive,Welsh | Latin/Italian,eiravivo.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
amitysync,Amitysync,blend,amity | sync,friendship | together / coordinated,English | English,amitysync.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,95,100
daravivo,Daravivo,blend,dara | vivo,wisdom / wealth | alive,Persian-inspired | Latin/Italian,daravivo.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
eirara,Eirara,transform,eira,snow,Welsh,eirara.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
naviamity,Naviamity,blend,navi | amity,guide / ship | friendship,Sanskrit-inspired | English,naviamity.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
sanasora,Sanasora,blend,sana | sora,brilliance / praise | sky,Arabic/Hindi | Japanese,sanasora.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
teraamity,Teraamity,blend,tera | amity,earth | friendship,Greek | English,teraamity.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,110,100
terasora,Terasora,blend,tera | sora,earth | sky,Greek | Japanese,terasora.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
amityvida,Amityvida,blend,amity | vida,friendship | life,English | Spanish/Portuguese,amityvida.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
vidaeira,Vidaeira,blend,vida | eira,life | snow,Spanish/Portuguese | Welsh,vidaeira.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
daratera,Daratera,blend,dara | tera,wisdom / wealth | earth,Persian-inspired | Greek,daratera.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
altokumo,Altokumo,blend,alto | kumo,high | cloud,Italian/Spanish | Japanese,altokumo.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
altozeno,Altozeno,blend,alto | zeno,high | stranger / open world,Italian/Spanish | Greek-inspired,altozeno.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
kumoluma,Kumoluma,blend,kumo | luma,cloud | light,Japanese | Latin-inspired,kumoluma.com,POTENTIALLY_AVAILABLE,False,False,,,,0,0,115,100
